epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.3204,1.27606,1.83018,1.36965,0.56884,0.48477,0.54214,0.33888,1.32242,2.38976,1.52773,0.0803868,0.000198113,0.000198113
2,132.758,1.43747,1.55294,1.50246,0.56747,0.55514,0.56382,0.36015,1.26183,2.63761,1.53186,0.0605867,0.000398025,0.000398025
3,199.232,1.47682,1.59279,1.55755,0.48229,0.55639,0.53468,0.32335,1.43435,3.83552,1.73883,0.0407863,0.000597582,0.000597582
4,263.782,1.4852,1.50104,1.53603,0.67752,0.57243,0.65228,0.40669,1.38094,1.91003,1.58768,0.0209852,0.000796519,0.000796519
5,330.268,1.46228,1.44901,1.53944,0.66627,0.51166,0.5578,0.33463,1.51877,1.80985,1.69256,0.00118325,0.000994572,0.000994572
6,394.251,1.48521,1.50893,1.55829,0.75009,0.44765,0.56457,0.36079,1.32523,2.46852,1.46701,0.00099446,0.00099446,0.00099446
7,458.341,1.37637,1.289,1.46723,0.86708,0.62098,0.75836,0.53866,1.16566,1.7071,1.35042,0.000992029,0.000992029,0.000992029
8,524.533,1.39714,1.28267,1.49814,0.75096,0.57406,0.65436,0.45351,1.22498,1.53157,1.4441,0.000989163,0.000989163,0.000989163
9,588.383,1.3502,1.23963,1.47224,0.86586,0.68365,0.78958,0.56817,1.09962,1.18528,1.30135,0.000985862,0.000985862,0.000985862
10,654.5,1.27617,1.1573,1.37889,0.87228,0.70188,0.80872,0.57615,1.09407,1.16213,1.28115,0.000982132,0.000982132,0.000982132
11,724.95,1.27448,1.14459,1.39949,0.84931,0.76862,0.81846,0.58909,1.09255,1.17787,1.33741,0.000977975,0.000977975,0.000977975
12,795.767,1.23864,1.05788,1.36161,0.92199,0.76846,0.84274,0.6352,0.98362,0.96069,1.23634,0.000973396,0.000973396,0.000973396
13,862.153,1.20079,1.01354,1.33281,0.88899,0.70912,0.80624,0.61091,0.99985,1.01555,1.26528,0.000968399,0.000968399,0.000968399
14,925.97,1.20924,0.98905,1.34688,0.8881,0.78686,0.85092,0.6374,0.94983,0.86162,1.19364,0.00096299,0.00096299,0.00096299
15,991.953,1.18614,1.01703,1.32893,0.87085,0.81576,0.85891,0.62871,1.02891,0.89063,1.23053,0.000957172,0.000957172,0.000957172
16,1056.24,1.14881,0.96065,1.28913,0.88106,0.75223,0.83045,0.60805,1.04114,0.95203,1.23011,0.000950953,0.000950953,0.000950953
17,1120.18,1.10393,0.85995,1.28619,0.8583,0.80673,0.85368,0.66141,0.94531,0.88941,1.22428,0.000944338,0.000944338,0.000944338
18,1186.62,1.07998,0.85089,1.26785,0.95195,0.8298,0.88909,0.68067,0.90646,0.76219,1.13905,0.000937334,0.000937334,0.000937334
19,1252.7,1.104,0.92728,1.27352,0.91252,0.76068,0.85214,0.65456,0.94734,0.91755,1.18472,0.000929948,0.000929948,0.000929948
20,1316.74,1.09067,0.88723,1.27156,0.94447,0.78172,0.86747,0.65453,0.94029,0.79441,1.1808,0.000922186,0.000922186,0.000922186
21,1380.8,1.104,0.87991,1.29837,0.88696,0.76307,0.84572,0.65176,0.93109,0.88641,1.19149,0.000914058,0.000914058,0.000914058
22,1446.9,1.08714,0.82358,1.27426,0.93588,0.82866,0.90176,0.6811,0.89148,0.76182,1.15854,0.00090557,0.00090557,0.00090557
23,1513.03,1.11923,0.85393,1.29026,0.90211,0.81214,0.87281,0.66654,0.89966,0.77383,1.15682,0.000896731,0.000896731,0.000896731
24,1577.12,1.06302,0.81843,1.23456,0.85155,0.80502,0.82964,0.63943,0.93124,0.87837,1.22456,0.00088755,0.00088755,0.00088755
25,1641.15,1.04655,0.81589,1.22794,0.9228,0.8114,0.8739,0.6649,0.91253,0.79154,1.14901,0.000878036,0.000878036,0.000878036
26,1704.85,1.07367,0.78784,1.23766,0.89115,0.85136,0.8924,0.68153,0.9388,0.71823,1.15467,0.000868198,0.000868198,0.000868198
27,1768.6,1.05205,0.78877,1.23838,0.87014,0.84051,0.88386,0.68216,0.94025,0.76913,1.15451,0.000858046,0.000858046,0.000858046
28,1832.38,1.05126,0.7889,1.23943,0.92851,0.8086,0.88452,0.66877,0.98367,0.76678,1.16091,0.00084759,0.00084759,0.00084759
29,1896.25,1.02001,0.74689,1.19359,0.93709,0.83469,0.89596,0.68092,0.9278,0.75372,1.14149,0.000836841,0.000836841,0.000836841
30,1960.32,0.99919,0.72717,1.19981,0.90196,0.86608,0.90308,0.71035,0.85008,0.6809,1.09118,0.000825808,0.000825808,0.000825808
31,2026.77,0.99756,0.73159,1.19068,0.88826,0.84765,0.89104,0.69392,0.89066,0.76348,1.1026,0.000814503,0.000814503,0.000814503
32,2092.62,0.99045,0.71729,1.18241,0.92484,0.80535,0.89234,0.69168,0.91999,0.72246,1.15954,0.000802938,0.000802938,0.000802938
